feature 2,feature 3
1.765046879,-3.336127117
-0.455253121,-2.124517117
3.656446879,-3.806527117
1.684346879,-5.453327117
4.304146879,-1.275387117
6.383746879,-1.374783117
-11.24865312,7.975072883
1.044946879,-2.724327117
4.873146879,-1.568427117
2.363146879,-6.243327117
-2.069283121,-0.594207117
7.163846879,-4.764427117
8.928946879,-4.544227117
1.349146879,-3.164727117
-0.856653121,7.431772883
0.573146879,-0.601917117
6.894846879,-2.929927117
1.374046879,-3.653927117
6.855546879,-3.611127117
1.661646879,-0.672177117
0.730446879,-4.173227117
8.225346879,-5.334227117
-3.103953121,-0.015827117
-2.690063121,6.359872883
-8.508853121,3.450972883
-0.678753121,2.819472883
-4.343453121,1.243672883
1.256046879,-4.974327117
-5.311853121,2.091972883
-6.377553121,3.174172883
6.429246879,-3.940127117
5.963646879,-3.061927117
1.998946879,-1.889747117
7.339746879,-4.918627117
-0.461453121,-0.047527117
4.891746879,-0.555647117
0.984946879,-0.339727117
7.248646879,-5.043727117
9.297246879,-5.011227117
-4.858653121,0.801572883
-0.862853121,-3.741327117
-8.529553121,4.404572883
5.284946879,-3.079027117
6.894846879,-1.459610117
-7.761853121,3.166472883
-2.149983121,0.090372883
2.106546879,-1.756077117
-1.529203121,-1.726087117
-6.017453121,2.969372883
-6.478953121,5.055772883
5.278746879,-2.612927117
-1.212553121,-0.640427117
-4.717953121,0.673072883
-8.777853121,4.819272883
7.832246879,-4.572527117
1.388446879,-5.905727117
-2.019618121,-1.615557117
-4.728353121,0.613972883
-1.953401121,-1.071467117
-6.371353121,2.145072883
0.699446879,0.453672883
-8.734453121,5.742172883
-7.826053121,9.584172883
-0.724253121,-0.731297117
10.03804688,1.685872883
5.158746879,-2.723427117
-1.955471121,3.337872883
8.066046879,-0.217227117
-4.840053121,0.825572883
7.370746879,-2.181927117
-0.544253121,-0.239427117
8.742746879,-4.926427117
10.04014688,-1.319089117
5.694646879,-3.785027117
1.773346879,-5.557027117
0.593846879,-0.564217117
5.837446879,-3.846727117
-0.763553121,2.527272883
-2.112733121,-2.303597117
-10.22635312,11.15737288
-9.369653121,5.094372883
-5.620153121,2.596672883
4.955946879,-0.949787117
-0.148953121,5.377972883
-5.253853121,3.732872883
-1.345033121,-0.055227117
-9.038653121,4.392572883
4.347546879,-1.239407117
7.610846879,-4.476527117
-10.55125312,9.042672883
1.972046879,-6.214227117
7.724646879,-4.605027117
-3.999953121,1.411672883
1.369846879,-3.367827117
6.445846879,-2.798027117
-7.107953121,2.295872883
3.898546879,-0.201727117
-1.214673121,0.892372883
5.131846879,-1.570147117
-8.711653121,3.878472883
6.189246879,-4.348827117
0.289746879,-4.515927117
-8.761353121,7.023072883
6.007146879,-0.780997117
1.092546879,-1.169137117
-8.690953121,5.277672883
-6.377553121,3.174172883
10.70234688,-0.661897117
-14.76845312,11.39807288
5.129746879,-3.451727117
-11.28995312,7.935672883
-6.408553121,2.258172883
-9.162753121,10.04427288
